None,date,ticker,adj_close
1357,2016-08-03,AMZN,754.64
1358,2016-08-02,AMZN,760.58
1359,2016-08-01,AMZN,767.74
1360,2016-07-29,AMZN,758.81
1361,2016-07-28,AMZN,752.61
1362,2016-07-27,AMZN,736.67
1363,2016-07-26,AMZN,735.59
1364,2016-07-25,AMZN,739.61
1365,2016-07-22,AMZN,744.86
1366,2016-07-21,AMZN,744.43
1367,2016-07-20,AMZN,745.72
1368,2016-07-19,AMZN,739.95
1369,2016-07-18,AMZN,736.07
1370,2016-07-15,AMZN,735.44
1371,2016-07-14,AMZN,741.2
1372,2016-07-13,AMZN,742.63
1373,2016-07-12,AMZN,748.21
1374,2016-07-11,AMZN,753.78
1375,2016-07-08,AMZN,745.81
1376,2016-07-07,AMZN,736.57
1377,2016-07-06,AMZN,737.61
1378,2016-07-05,AMZN,728.1
1379,2016-07-01,AMZN,725.68
1380,2016-06-30,AMZN,715.62
1381,2016-06-29,AMZN,715.6
1382,2016-06-28,AMZN,707.95
1383,2016-06-27,AMZN,691.36
1384,2016-06-24,AMZN,698.96
1385,2016-06-23,AMZN,722.08
1386,2016-06-22,AMZN,710.6
1387,2016-06-21,AMZN,715.82
1388,2016-06-20,AMZN,714.01
1389,2016-06-17,AMZN,706.39
1390,2016-06-16,AMZN,717.51
1391,2016-06-15,AMZN,714.26
1392,2016-06-14,AMZN,719.3
1393,2016-06-13,AMZN,715.24
1394,2016-06-10,AMZN,717.91
1395,2016-06-09,AMZN,727.65
1396,2016-06-08,AMZN,726.64
1397,2016-06-07,AMZN,723.74
1398,2016-06-06,AMZN,726.73
1399,2016-06-03,AMZN,725.54
1400,2016-06-02,AMZN,728.24
1401,2016-06-01,AMZN,719.44
1402,2016-05-31,AMZN,722.79
1403,2016-05-27,AMZN,712.24
1404,2016-05-26,AMZN,714.91
1405,2016-05-25,AMZN,708.35
1406,2016-05-24,AMZN,704.2
1407,2016-05-23,AMZN,696.75
1408,2016-05-20,AMZN,702.8
1409,2016-05-19,AMZN,698.52
1410,2016-05-18,AMZN,697.45
1411,2016-05-17,AMZN,695.27
1412,2016-05-16,AMZN,710.66
1413,2016-05-13,AMZN,709.92
1414,2016-05-12,AMZN,717.93
1415,2016-05-11,AMZN,713.23
1416,2016-05-10,AMZN,703.07
1417,2016-05-09,AMZN,679.75
1418,2016-05-06,AMZN,673.95
1419,2016-05-05,AMZN,659.09
1420,2016-05-04,AMZN,670.9
1421,2016-05-03,AMZN,671.32
1422,2016-05-02,AMZN,683.85
1423,2016-04-29,AMZN,659.59
1424,2016-04-28,AMZN,602.0
1425,2016-04-27,AMZN,606.57
1426,2016-04-26,AMZN,616.88
1427,2016-04-25,AMZN,626.2
1428,2016-04-22,AMZN,620.5
1429,2016-04-21,AMZN,631.0
1430,2016-04-20,AMZN,632.99
1431,2016-04-19,AMZN,627.9
1432,2016-04-18,AMZN,635.35
1433,2016-04-15,AMZN,625.89
1434,2016-04-14,AMZN,620.75
1435,2016-04-13,AMZN,614.82
1436,2016-04-12,AMZN,603.17
1437,2016-04-11,AMZN,595.93
1438,2016-04-08,AMZN,594.6
1439,2016-04-07,AMZN,591.43
1440,2016-04-06,AMZN,602.08
1441,2016-04-05,AMZN,586.14
1442,2016-04-04,AMZN,593.19
1443,2016-04-01,AMZN,598.5
1444,2016-03-31,AMZN,593.64
1445,2016-03-30,AMZN,598.69
1446,2016-03-29,AMZN,593.86
1447,2016-03-28,AMZN,579.87
1448,2016-03-24,AMZN,582.95
1449,2016-03-23,AMZN,569.63
1450,2016-03-22,AMZN,560.48
1451,2016-03-21,AMZN,553.98
1452,2016-03-18,AMZN,552.08
1453,2016-03-17,AMZN,559.44
1454,2016-03-16,AMZN,574.27
1455,2016-03-15,AMZN,577.02
1456,2016-03-14,AMZN,573.37
1457,2016-03-11,AMZN,569.61
1458,2016-03-10,AMZN,558.93
1459,2016-03-09,AMZN,559.47
1460,2016-03-08,AMZN,560.26
1461,2016-03-07,AMZN,562.8
1462,2016-03-04,AMZN,575.14
1463,2016-03-03,AMZN,577.49
1464,2016-03-02,AMZN,580.21
1465,2016-03-01,AMZN,579.04
1466,2016-02-29,AMZN,552.52
1467,2016-02-26,AMZN,555.23
1468,2016-02-25,AMZN,555.15
1469,2016-02-24,AMZN,554.04
1470,2016-02-23,AMZN,552.94
1471,2016-02-22,AMZN,559.5
1472,2016-02-19,AMZN,534.9
1473,2016-02-18,AMZN,525.0
1474,2016-02-17,AMZN,534.1
1475,2016-02-16,AMZN,521.1
1476,2016-02-12,AMZN,507.08
1477,2016-02-11,AMZN,503.82
1478,2016-02-10,AMZN,490.48
1479,2016-02-09,AMZN,482.07
1480,2016-02-08,AMZN,488.1
1481,2016-02-05,AMZN,502.13
1482,2016-02-04,AMZN,536.26
1483,2016-02-03,AMZN,531.07
1484,2016-02-02,AMZN,552.1
1485,2016-02-01,AMZN,574.81
1486,2016-01-29,AMZN,587.0
1487,2016-01-28,AMZN,635.35
1488,2016-01-27,AMZN,583.35
1489,2016-01-26,AMZN,601.25
1490,2016-01-25,AMZN,596.53
1491,2016-01-22,AMZN,596.38
1492,2016-01-21,AMZN,575.02
1493,2016-01-20,AMZN,571.77
1494,2016-01-19,AMZN,574.48
1495,2016-01-15,AMZN,570.18
1496,2016-01-14,AMZN,593.0
1497,2016-01-13,AMZN,581.81
1498,2016-01-12,AMZN,617.89
1499,2016-01-11,AMZN,617.74
1500,2016-01-08,AMZN,607.05
1501,2016-01-07,AMZN,607.94
1502,2016-01-06,AMZN,632.65
1503,2016-01-05,AMZN,633.79
1504,2016-01-04,AMZN,636.99
1505,2017-12-29,AAPL,169.23
1506,2017-12-28,AAPL,171.08
1507,2017-12-27,AAPL,170.6
1508,2017-12-26,AAPL,170.57
1509,2017-12-22,AAPL,175.01
1510,2017-12-21,AAPL,175.01
1511,2017-12-20,AAPL,174.35
1512,2017-12-19,AAPL,174.54
1513,2017-12-18,AAPL,176.42
1514,2017-12-15,AAPL,173.87
1515,2017-12-14,AAPL,172.22
1516,2017-12-13,AAPL,172.27
1517,2017-12-12,AAPL,171.7
1518,2017-12-11,AAPL,172.67
1519,2017-12-08,AAPL,169.37
1520,2017-12-07,AAPL,169.452
1521,2017-12-06,AAPL,169.01
1522,2017-12-05,AAPL,169.64
1523,2017-12-04,AAPL,169.8
1524,2017-12-01,AAPL,171.05
